,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
278,AFCD,Ornithine,,Ornithine,mg,,Protein,Ornithine,
279,AFCD,Alanine + arginine,,Alanine + arginine,mg,,Protein,Alanine + arginine,
280,AFCD,Asparagine + aspartic acid,,Asparagine + aspartic acid,Not provided in unformatted AFCD,,Protein,Asparagine + aspartic acid,
281,AFCD,Glutamine + glutamic acid,,Glutamine + glutamic acid,Not provided in unformatted AFCD,,Protein,Glutamine + glutamic acid,
282,AFCD,Glutamine + histidine,,Glutamine + histidine,mg,,Protein,Glutamine + histidine,
283,AFCD,"Monoglycerides, total",,"Monoglycerides, total",g,,Fatty acid,Total monoglycerides,
284,AFCD,"Wax, total",,"Wax, total",mg,,Carbohydrate,"Wax total, aka wax ethers",
285,AFCD,Vitamin B6; unknown/variable methods,,Vitamin B6; unknown/variable methods,mg,,Vitamin,"Vitamin B6, method of determination unknown or variable",
286,RDI,Calcium,,Calcium,mg,mg,NA,NA,3
287,RDI,Carbohydrates,Carbohydrate,Carbohydrate,g,,NA,NA,
288,RDI,Protein,,Protein,g/kg,g,NA,NA,2
289,RDI,Vitamin A,,Vitamin A,µg,mcg,NA,NA,3
290,RDI,Vitamin C,,Vitamin C,mg,mg,NA,NA,2
291,RDI,Vitamin D,,Vitamin D,µg,mcg,NA,NA,3
292,RDI,Vitamin E,,Vitamin E,mg,mg,NA,NA,2
293,RDI,Thiamin,Vitamin B1,Vitamin B1,mg,mg,NA,NA,2
294,RDI,Riboflavin,,Riboflavin,mg,mg,NA,NA,2
295,RDI,Niacin,,Niacin,mg,mg,NA,NA,2
296,RDI,Vitamin B6,,Vitamin B6,mg,mg,NA,NA,2
297,RDI,Folate,,Folate,µg,,NA,NA,
298,RDI,Vitamin B12,,Vitamin B12,µg,mcg,NA,NA,3
299,RDI,Copper,,Copper,µg,mcg,NA,NA,1
300,RDI,Iodine,,Iodine,µg,mcg,NA,NA,3
301,RDI,Iron,,Iron,mg,mg,NA,NA,3
302,RDI,Magnesium,,Magnesium,mg,mg,NA,NA,2
303,RDI,Molybdenum,,Molybdenum,µg,,NA,NA,
304,RDI,Phosphorus,,Phosphorus,mg,mg,NA,NA,1
305,RDI,Selenium,,Selenium,µg,mg,NA,NA,3
306,RDI,Zinc,,Zinc,mg,mg,NA,NA,3
307,RDI,Vitamin K,,Vitamin K,µg,mcg,NA,NA,1
308,RDI,Pantothenic acid,Vitamin B5,Vitamin B5,mg,mg,NA,NA,2
