"country","iso3","nutrient","npeople","ndeficient","perc_deficient"
"Serbia","SRB","Vitamin B-12",8737263,814382.601679041,9.32079761910613
"Serbia","SRB","Zinc",8737263,7150.89521314823,0.0818436530198099
"Seychelles","SYC","Calcium",98335,97307.4152358661,98.9550162565374
"Seychelles","SYC","Iron",98335,93034.3001245356,94.6095491173393
"Seychelles","SYC","Omega-3 fatty acids",62173,55136.8473321396,88.6829448991355
"Seychelles","SYC","Vitamin A, RAE",98335,86184.6900982231,87.6439620666325
"Seychelles","SYC","Vitamin B-12",98335,84778.0606521441,86.2135156883552
"Seychelles","SYC","Zinc",98335,92482.5885944218,94.0484960537162
"Sierra Leone","SLE","Calcium",7976968,7956818.13877064,99.7473994977871
"Sierra Leone","SLE","Iron",7976968,4676841.86634764,58.6293171333725
"Sierra Leone","SLE","Omega-3 fatty acids",3129866,1827240.55320358,58.3807918039808
"Sierra Leone","SLE","Vitamin A, RAE",7976968,2997273.18248861,37.5740905879102
"Sierra Leone","SLE","Vitamin B-12",7976968,3364686.77740792,42.1800209980524
"Sierra Leone","SLE","Zinc",7976968,5338942.90588791,66.9294762858257
"Singapore","SGP","Calcium",5849592,5812045.13862476,99.3581285434054
"Singapore","SGP","Iron",5849592,5677905.58436272,97.0649847777882
"Singapore","SGP","Omega-3 fatty acids",4467224,3423100.65178236,76.6270205340578
"Singapore","SGP","Vitamin A, RAE",5849592,5658384.57538765,96.7312690421425
"Singapore","SGP","Vitamin B-12",5849592,4858778.42947509,83.0618345600017
"Singapore","SGP","Zinc",5849592,4706752.23377305,80.462914913947
"Slovakia","SVK","Calcium",5459479,3324773.98507893,60.8991074986995
"Slovakia","SVK","Iron",5459479,223204.538370904,4.08838532707799
"Slovakia","SVK","Omega-3 fatty acids",4056688,3111018.30358093,76.6886263765153
"Slovakia","SVK","Vitamin A, RAE",5459479,1912049.35323118,35.0225608200193
"Slovakia","SVK","Vitamin B-12",5459479,353141.97451409,6.46841895561993
"Slovakia","SVK","Zinc",5459479,3189.70575078679,0.0584250942404357
"Slovenia","SVN","Calcium",2078741,1288037.45244459,61.962382636634
"Slovenia","SVN","Iron",2078741,80174.7279746426,3.85688875981388
"Slovenia","SVN","Omega-3 fatty acids",1575878,1208401.67345857,76.6811690662966
